,Reviews
3317,past weekend tried several time make purchase however every time tried locked account pretense protecting information account security ridiculous even make purchase apparently hacking account website miraculously found way secure people account successfully without completely preventing shopping yet guy seem get right top finally able access account forced reset password lo behold proceeded tell password set 30 second ago incorrect suffice say absolutely furious would highly recommend find new place shop amazon terrible customer service help repeatedly locked account try make purchase dollars10 time could give 0 star review would sadly give least 1 absolutely terrible experience stay away read full review
3318,used amazon time last two time completely disappointed one product completely wrong size second two dog bed completely come apart horrible product sent picture email response also tried rate product would post rating mentioned reached amazon response customer response got rude completely unhelpful ordering
3319,amazing often use amazon selection good price fair delivery timely fashion keep using amazon long keep offer
3320,ordered hutch black server medium cherry wood top two door hutch apt extra space came 3 large heavy box trying put together joke nothing aligned instruction said became ridiculous box came almost destroyed shipping managed recover 1 need another one large enough piece item back amazon return money till return meantime ups fedex cannot pick material phone day trying figure get returned cant return work till dang thing gone dollars400 00 piece crap made home style furniture point specialty freight company working coming retrieve thing first item amazon 3rd party sent stuff cheaply shipper everyone know usps ups toss box around like rag breaking whatever inside box shop place view unharmed buy never put amazon joke seems think everyone free time rolling dough mind deal read full review
3321,purchase mp3 song downloads amazon com listen song signed amazon com also recently informed writing amazon com general account reported amazon com internally hacked close 2 credit card spend 3 month disputing charge non delivered diverted/stolen merchandise amazon com would delete hundred dollar spent year mp3 music paid purchase closed internally compromised amazon com account also informed writing hundred dollar paid purchase mp3 music downloads would still deleted opened new yet non internally hacked amazon com account destroying paid purchase condition ever disclosed time year made hundred mp3 song purchase amazon com
3322,reported kindle device lost told would deactivated could reactivate device located well found device contacted kindle support one knew activate device one representative even explained device reported lost therefore deactivated asked apps book deleted paying attention saying talked total 3 different representative either india philippine none know activating device one idiot even said wifi bad could clearly see connected fine finally gave two hour speaking people knew nothing goal able speak english speaking person knowledgeable solve problem without suggesting ridiculous remedy know solve issue poorest customer service ever received retailer including best buy nation worst amazon competing worst customer service planet read full review
3323,received package amazon sender called find came could help treated badly phone like making money time noticed amazon spending money hopeful question want refund forget use greedy company afraid going get worse watch forewarning think company good
3324,double charged amazon 2x past 3 day pathetic right double charged shirt ordered luckily caught turn around today starz subscription call fix rude never life mistreated company going go downhill real fast nasty people like working going cancel subscription amazon ebay looking lot better used grass always greener people
3325,ordered prestige wet grinder 2 litre amazon month january product damaged usual placed return request wait 2 week pick damaged item upon multiple time raised request via customer care delivery guy came picked item left said receipt given amazon vehicle quite parcel delivered next day got call multiple delivery guy pickup item already returned poor delivery lethargic way amazon responds afraid amount never refunded trust amazon lost one trick loot money customer
3326,worst company ever rude rep paid item come next day never got day come find never sent shipping company use left package apts door state leave office causing many package stolen 5 exact care consumer money
3327,issue damaged product shipped amazon returning took month get money shipping charge back several issue quit using amazon 2 year actually able find item purchased time better price site without issue damaged item recently past 2 month purchased item amazon issue item shipped oversized box absolutely packing item shipped damaged returning item refund week later called amazon first customer service agent hung calling back talking fake called manager could obviously care le received item back refunded money decided use amazon left review damaged item recently received none post posted site obviously scan review post want read full review
3328,ordered 6 package sound activated el wire lighting prime membership 6 defective battery pack missing spring hold battery hit connector couple switch hole amazon prime quality control non existent day issue quality item defective item 60 percent time use prime shipping fast limited time lately prime costing 3 time amount time running around looking supplier ship order quickly nobody amazon tested reviewed looked product sent opinion amazon concerned customer service satisfaction would happening frequently finished expecting anything item poorly made subpar wait see long take 60 percent product order start showing spoiled read full review
3329,buy lot stuff amazon really simple use search want add cart purchase see others review product making decision getting downside shipping certain stuff free shipping want fast shipping find paying prime little expensive free shipping option shipping cost worth buying online anymore
3330,bought article dollars5 98 process return amazon want pay dollars8 00 shipping back way force keep one way solution customer aware buy
3331,received book gift cost purchaser dollars14 47 already owned book returned expecting pay return shipping deducted return shipping dollars7 28 restock book got refund dollars2 96 rip
3332,report courier grossly incompetent customer satisfaction delivery yesterday scheduled receive package home address experienced 7 8 instance amazon logistics courier mark package delivered actually using feature show driver sat outside 5 30pm item marked delivered sat outside unit still awaiting 7 40pm several mosquito bite later contact customer service inform issue feedback form supposedly submitted note made logistics investigate refunded 7 8 time 11 09pm duty officer informs multiple package callously left public unsecured mailroom mine one retrieve contact inform one item due arrive today 02 25 18 repeat waiting outside tactic verified front gate open waited 1hr 45 minute later 4 26pm package marked delivered notated left mailroom sprint 30 second notification mailroom see package whatsoever run front property open gate witness one white van spinning tire cutting 2 car street speeding away dangerously look left see package well 4 others left directly closed front office porch front gate open delivery location blatantly purposefully false even though reported issue yesterday night still allowed incompetent individual repeat horrific action confirm utter decline customer service furthermore potentially cost customer amazon irreplaceable time resource money today cancelling prime membership well everyone else whose package mishandled past month weekend informing others way price pay yearly individually worth gross theft incompetence time spent contacting get credit allows courier repeat action warranted compensation first place eventually rating fall 2/5 deal major blow business member since since began using delivery service people extremely dissatisfied remove one person entire distribution staff something need done delivery driver amazingly professionally proficient encounter area business working job update realized one two package ordered also marked refused could refuse package never saw marked left mail room another issue added mountain incompetence company shown extremely disappointed read full review
3333,ordered christmas present 12/18/17 delivery 12/21/17 christmas note included pkg spoke 2 rep item packaged shipping 3rd person take 5 7 day ship advised order say nothing like told stock shipped going notified put hold come back tell packaging seriously next day got someone else point happy due christmas basically present 4th person finally got information said would ship 12/29/17 item received 1/3/18 box missing piece torn half open end already see toolbox scratch due hole box shipping label quite interesting item shipped amazon return dept knowing sent damaged product opened pic toolbox dented severely lid even close etc christmas message included phone 3am replacement ordered gift order charge 1/9/18 received dented christmas message included half message missing included cost notified amazon livid point notified lund international advise product damage amazon look notified even fit truck amazon advertised false advertising go figure refund received return label sent 17 day later threat email charge card paid also item returned mail label email 2/23/18 finally picked 43 day stored item pay storage fee refund gift order 11 prime member mean nothing ended service stay away crook even know read full review
3334,joined prime membership fast shipping free two day shipping neither true entity wait two week take get delivery added scam live alaska many item cannot shipped state course change get checkout best scam one save product later sudden change free shipping item cannot shipped location also appears switch product prime let say wanted tow hitch one need prime yet every hitch prime fit vehicle due fact record vehicle garage portion account write ftc course nothing ever done scam
3335,one prime promise 2 day shipping free cool except say 30 percent order arrive guaranteed date guaranteed language amazon us several late delivery amazon offered 12 month prime free great nope 8 month later billing date approached noticed changed called asked customer service representative stated mistake said 1 month opinion mistake honour originally stated also noticed general customer service time delivery getting worse time
3336,received 2 amazon prime card mail since requested called amazon spent 2 hour phone chat room transferred chase said amazon take care problem later chat told call chase turn told talk amazon today called transferred computer generated answering device none option applied called back told solution appeal prime charge get first time serious problem amazon
3337,delivery charge pitambari gomutra capsule high understand delivery charge r 50 every bottle someone purchase bottle paid r 400 delivery 8 bottle around r 100 r 150 order 50 bottle pay r 2500 delivery good
3338,careful amazon us review product feature lure people always post bad review happened post called ask explanation given even email response promised outsource lot frustrating math based spend monthly fee order amazon normally order easy getting good deal prime member feel like completely taken advantage man handled customer service policy canceled subscription today never going back
3339,comment amazon product amazon lost product delivery issue refund compensation angry time really think much amazon actually compensating product receive inconvenience grief lost productivity amazon telling actually gracious issuing refund thing receive hell anticipation pay thing receive issue refund merchandise customer receive without replacement compensation called back later asked send replacement free compensation told cannot company policy charge replacement product question compensating exactly nothing
3340,ok ordered 29/01/2018 22/02/2018 show order stress monetary cost bad experience first time amazon shopper thinking honorable reliable online store wrong good stock took money fast thought delivery charge extremely high delivery time slow waited meanwhile received lot e mail add fake promise order track many fake e mail saying order would delivered tomorrow many tomorrow later far past delivery date good delivered sending amazon many e mail asking help received back add gibberish automated response claiming sort excuse fact proven fake finally got partial refund never shop warn people place big scam deliver customer service one talk hold responsible constant unending lie read full review
3341,amazon stole money please understand desperate amazon keep changing story friday 19 amazon told order delayed would receive saturday saturday 20th amazon told issuing refund offering explanation called decided confess lost package sunday 21st received email saying order dispatched called amazon told email mistake refund going issued following day meaning done 20th previously told instructed wait 7 day received refund 23rd contacted amazon confirmed refund actually issued 20th meaning information received 21 wrong 30th gave reference number told check bank refund accepted day called visa told received refund payment done debit card called amazon told speak branch bbva branch claimed received refund well following 3 day called asking get legally validated proof issued refund reference number could fake one need clear proof ask branch double check got refund month gone sent amazon 43 email called 21 time got proof discovered issued refund another branch mine actually refunded money another person really lame best part still corrected say need phone branch client ask recognize refund earth expect honestly amazon use brain read full review
3342,amazon locked review process apparently failing meet review guideline read guideline think violated way true word respond query regarding subject amazon truly wanted honest unpartial review would lock customer 10 year without least citing specific review fair idea review question remark specifically wrong suspected review 1 rating submitted product work submitted picture showing reason rating following review notified able submit review amazon fine company prime customer enjoyed expressing opinion product purchased never need say anything negative amazon instance hoping amazon reviewer ran review blockade without justification 77 year old male air force enlisted retiree college degree worked professionally respected space defense company engineer 20 year feel need offer review duty prospective buyer thanks review people review influencing unknowingly lost privilege disturbing read full review
3343,first time ever using amazon everyone ranted raved impressed said package would come monday instead maybe going thursday package got sent completely different state customer service lady amazon said usps fault usps said undeliverable amazon sent wrong address first time ever using amazon last time ever
3344,ordered model b 52 arrived broken part gave one star exact wordage arrived several part broken engine pod missile pod broken cannot glued back place intention getting replacement since packaging allows cheap plastic part break easily bad look like nice model rejected due cheap plastic part wording name calling vulgarity honest appraisal product fooled review amazon appears cannot trusted show defective product
3345,amazon great deal worst bank ever nothing problem synchrony bank day took card gone without authorization credit report see card 8 credit card zero balance except one synchrony bank chose lower limit like card business lowering credit limit given black mark credit spend lot money amazon consider taking company recommend associate amazon get different bank deal
3346,amazon without knowledge approval charged account dollars49 53 make multiple phone call get money back say within 3 5 business day one letter 10 day another clearly know end earth company right charge something neither wanted authorized fraud amazon breaking law counting people paying attention money going word amazon make money people ignorance fraudulent method seriously enough going enough consumer affair actually going something help u frankly seem care anymore amazon fleecing america still money back thief
3347,agarwal amazon com leader establish vision future set strategy getting none pathetic socially uneducated get job two week delivery man ran away money please cancel pending order lack personal contact seller buyer fraud confronted problem numerous correspondence cannot meet unexpected objection raised customer cannot give personal advice assurance good sold mail satisfy requirement customer
3348,received email amazon concerning returned item yes returned 9 order 33 item ordered reason return item defective stated perform stated amazon order website unusual number recent order returned called amazon customer service speak someone confused email ask speak someone else placed hold one came back hear complaint unusual number recent order returned amazon change way credited returned order october 2017 well receive seller could amazon solution show seller trying intimidate customer return item sending email like email amazon stated contacted via email phone
3349,automatically debited cc next year adding 9 1 percent tax dollars99 never got warning prime expiring shocked see way stop cc number feel free automatically charge another whole year sure cancel may get money back
3350,amazon prime membership worth order submitted order nostalgic warehouse meadow plate keyhole privacy meadow door knob timeless bronze submitted order 3 time first 2 time sent 4 door lock different color item shipped fulfilled amazon sure sent 4 different color 2 different order careless wasted time middle home renovation cannot finish amazon error must installer come back horrible experience horrible customer service sure part world calling manager available
3351,since q4 17 experiencing ongoing issue prime shipment late week received notice shipment lost damaged support offered send another shipment additional cost free promised send purchased 2 day prior previous complaint regarding late order resulted offer extra month prime big deal rely make decision buy using prime based getting quicker run store today contacted via chat one two fire stick work troubleshooting asked go fine concluded needed speak tech support asked number system called u spoke rep min asked would hold consulted supervisor/team lead 40 minute later opened new chat ask 40min hold normal rep said sorry could help ask trouble shoot concluded needed spend another dollars40 buy new one would give 20 percent could tell life expectancy fire stick statistic 90 day warranty bought 2 thing second device working need get disconnected using tv turn 50 minute hold tech support call disconnect spent better part afternoon trying fix issue want buy another one get email someone supervisor team certainly read like templated response basically said thing sorry need buy another fire stick customer service service delivery deteriorating disappointed prime member year never experienced anything like read full review
3352,started free 30 day prime see would full intention continuing went well worth dollars100 year made paid order said stock free 2 day prime shipping checked status next day said would receive order 5 6 day emailed explained happened wrote back would put next day delivery charge 10 minute later get text credit card company saying new charge done amazon logged looked amazon account find charged next day shipping contacted said sorry would credit account within next 3 5 day continued tell going extend prime membership another month couple day later attempted charge card membership fee put hold card denied contacted right away response cancelling membership read full review
3353,amazon used go site lot product quick shipping excellent price stood behind issue product however last 2 order poor point unacceptable issue received replacement electronic part package content damaged shipping pay postage return item little week ago placed order one item wrong mistake honest amazon forced pay dollars8 ship back 2 ounce strip computer memory option pay postage pocket level service u prime member receive amazon making ebay look better better saying lot
3354,allow u contact except issue fall specified category trying use reward toward order place alternatively want cancel account cancel prime cancel credit card want tell know cancel credit card separately tell
3355,checkout amazon screen came asking would like receive free 2 day shipping clicked link information enrolled prime charged dollars109 without told cost confirmation way back transaction call amazon customer support get cancelled easy link like starting although charge immediate told refund would take 3 5 business day consumer protection act requires business disclose fee good service charging
3356,like many others year good experience amazon negated present situation purchased computer week christmas new year received delivery jan 9th problem computer ordered make inferior processor half memory contacted amazon immediately authorized return mi shipped item back ups le 3 hour delivery ups verified receipt amazon message posted account full refund granted problem arose nothing credited account 26th january contacted amazon told glitch happened credit would forthcoming second refund authorization posted account time 80 percent charge charged restocking fee item never received penalized seller mistake credit reached credit card contacted amazon agreed charged restocking fee authorization full refund posted account date still short restocking fee told fourth amazon rep would probably least ten working day might see something account matter dispute credit card company moral story longer trust amazon right thing trust customer rep either competent trustworthy read full review
3357,hope help problem complaint amazon weekly state pensioner resource fight wish make complaint harsh treatment meted amazon seller performance team advised contact amazon uk site title long winding road injustice sale stated record account true record amazon uk book site detail sale state one copy left come copy printed wondering copy coming found frustrating dealing seller team make sense hope deal totally disappointed knew jeff bezos aware yet nothing done resolve issue many many time asked title removed amazon listing hear fill form filled form three different occasion sent seller performance team expected shortly dealing america star book came notice scamming writer result asked contract terminated long haul agreed promised return money paid never happened right title full right holder amazon aware offered send proof right title returned seller team choose ignore jeff bezos aware situation passed query staff member never resolved title far aware illegal amazon site given transfer situation publisher america star book company fraudsters many lawsuit filed court decided rewrite story using new book title reason needed old title removed held back promotion new title believe sale would affected also believe old new title similar reader would obviously buy old title much cheaper old title effect copyright matter well would like title long winding road injustice removed amazon listing ignored request read full review
3358,worst experience cheap come 1000 buck experience first buy something get bombarded stupid quote end never get 1k gift card never use knock every turn poor customer relation screw people support buy
3359,loyal customer many year amazon prime past amazon top notch delivery/customer service nowadays delivery get get 2 day turn around promised like pay make lack quality service constantly offered extra month free prime membership top notch service led write review tired feeling like ripped prime membership offered paying waiting 5 day far something ordered delivered 2 day time gave cancelled order visited neighborhood home depot second time year february let valued shopping source offered free month prime question would want free month frustration still member cannot say much longer take money fast get expect return order shameless amazon please better read full review
3360,many good experience amazon recently customer service nightmare started return dollars400 speaker compatible tv understand want deduct shipping cost restocking fee said receive anything denied delivery even though ups tracking
3361,like amazon never problem delivery return concern think product delivered overseas state front click order button point able cancel find going take month delivery think product within u possibly bold letter state shipped outside u
3362,written amazon problem many time leaving package front door apartment complex last time ordered amazon rather inexpensive item delivery detail say handed resident well obviously b happened home time outside apt delivery guy showed order amazon left door stopped mentioned fact easily seen sign front door asking anyone delivering package take apartment office reply amazon instructs leave front door take office anywhere else package wrote told return dollarsdollarsdollars account would shop item delivered done
3363,ordered dvd signed amazon prime receive free 2 day shipping selected dollars99 year plan free shipping applied order problem occurred moment later checked credit card charged 105 56 dollars99 called customer service later chatted customer service told exact thing word word could escalate concern higher dept possibly avoid kind problem future unfortunately help problem place membership order nothing screen regarding tax add l fee fine print nothing chat rep sent link page indicating tax membership certain state page appear order membership useless misleading sell service dollars99 charge customer 105 56 mention fee tax canceled membership like way misleading way presented cost order get full refund back cancel order cancel membership benefit used course get full refund annoying canceled first order wanted apply membership ordered membership ordered item apply membership shipping benefit cancel order get full refund back membership ordered item 3rd time paid shipping usual would kept membership would deleted fee since hidden fee neither rep could seems like would made sense keep dollars99 delete dollars6 56 rather cancel entire 105 56 membership cost misleading shipping without membership always misleading even message appears qualify free shipping system still default standard shipping fee manually select free shipping deliberate ridiculous offer free shipping try trick customer pay shipping much money amazon make play game like oh even get started add item scam annoying amazon used better focus book dvd big greedy p attached order number 2nd order one canceled get full membership fee back read full review
3364,find bad business practice show lack respect discord hard working people used service ebt prime discount 10 99 month slap face giving people already collect hard working taxpayer dollar food stamp housing discounted prime membership 5 99 cancelled membership anything amazon anyone business discrimination
3365,purchased iphone kenwood car stereo within one year died contacted customer service seem want help located item purchased never heard gave forwarding several email message
3366,amazon slippery company always bending rule advantage getting charged credit card month amazon prime never ordered attempted get taken find long hold time attendant help finally today got agree stop billing reverse prior charge yes purchased amazon never signed prime additionally mr bezos started amazon made statement get category drive competitor business see raise margin price order make profit believe retailer able make however much profit want long damage others mr bezos huge leftist feel okay drive company business business practice also find fine city giving special tax break million dollar get business operate facility city state believe check record company pay extremely low tax take advantage system kind peculiar someone think government raise tax pay many thing today also took year amazon make profit got investor sold stock company profitable washington post owns writer write obvious lie sometimes retracted small print sometime later done type behavior liberal stop purchasing amazon many company similar sometimes lower pricing take extra minute check see agree run business political belief continue buying aware sometime future miscreant po charging higher price read full review
3367,ordered mobile waited 13 day talked around 10 15 customer care rep 7 day got false promise delivery final day told product delivered cannot replaced pathetic service amazon
3368,really disappointed one refund waiting refund since 5 day credit gift card within 24 hour waiting since 5 day expected 5th february today 10th feb showing processing completed yet refund return postage completed refund order going complete complained several amazon csr everyone use make false promise waste hour chat anything keep follow try anything conversation jaswinder vikas keeping follow one seem interested helping request please credit 108 48 gift card wait already wasted lot time chat really disappointed service getting amazon waiting positive response thanks
3369,ordered book sleep nino ricci 5th paid extra expedited still received book prime member many year book prime expedited thought receive within 2 3 business day called amazon customer service agent name dri blamed seller wanted cancel since told arriving 14th wednesday want help instead say need contact seller seller email within two business day tuesday 13th simply want book anymore paid extra expedited delivery amazon seller able expedite book need full refund order book different company huge inconvenience caused child great deal pain anxiety sit class without book read amazon take 9 10 day expediting rip poor business practice read full review
3370,long time prime customer amazon completely happy service started using people obviously know deliver package beyond lie well tracking information package delivered place business two building obviously know receiving department receptionist desk box left indiscriminately around building today three package co worker left behind one building unused unmarked 50 foot receiving department trying contact amazon impossible upper management need hear u believe
3371,sure happened happy amazon prime member year however thing started going downhill last 1 2 year last 6 month extremely disappointed many level two gift sent two different people sad event loss pet personal illness item lost reported thing offered send another item nothing else even said wrong another gift sent friend lost best friend card go item even know nothing indicating came ordered gift christmas birthday last 6 month multiple item arrived box almost destroyed multiple item even close described found review amazon skewed way thing received high review started paying closer attention realized even review awful high rating/multiple star clearly something going mother little online shopping wanted order thing told could share prime shipping discovered secretly changed rule benefit share one person unless share banking info address garbage item wanted return described total junk used app indicated could set bring ups store show code would scan print label ship fianc went multiple store told code could scan contacted amazon said past deadline return item complained told story contacted customer service 3 time received anything agent chat phone rude many speak understand proper english told twice would issued refund within 1 2 hour never showed second agent said first person even enter note told first person sending information higher level agent would hear clearly enter refund anything said third agent said know happened promised another refund offered whomping dollars10 mentioned issue sad like amazon prime awesome tool long given walmart place competing two day shipping feeling get worse read full review
3372,frustration reason review stop using amazon changed customer service policy considerably last year recent incident involving 200 00 order 10 99 item shipped box told repeatedly wait 3 day investigation policy also told listed delivered understand amazon point view etc totally incorrect item sent told would picked etc problem happen quite lot constantly put forget problem amazon refuse fix error lot different example list many stop idiot stop shopping
3373,first worst experience amazon really know rate item never received full order first purchased one customer yes sell anyway package delivered two different package tracking status delivery date show delivered however received package containing one item missing package contains 3 called 1/22 claim never chatted 1/23 told driver scanned wrong receive end day 1/24 contacted 1/24 told wait 72 hr customer becoming irritated followed 25th told something else let investigation followed 30th told wait another 48 hour gave 6 day time chatted 2/5 first customer rep told file claim usps ownership good transferred upon shipping make wait 2 week tell something could done beginning asking option rep kept resending message 3 4 time ended chat tried talk someone else time make sense telling proceed investigation unless submit police report become bothersome decided let customer cancelled delay replacement refund amazon end get help needed tell thing make wait 2 week overall bad experience amazon however one item receive customer loved like made skin smoother wished le tingly feeling used face overall loved everyone different experience prefer voice mine frustration thanks reading read full review
3374,security camera motion sensor installed residence someone approach residence see reach door past year issue amazon stating made delivery attempt residence fact recent episode began 2/5/2018 received text alert stating issue package delivered 2/8/2018 completely unacceptable paid day delivery immediately contact customer service connecting service rep receive another text notification delivery attempt made false attempt made double checked video make sure nothing mention rep rep apologizes confirms delivery attempt made carrier service time rep assured package delivered residence 12 pm 2/6/2018 2/6/2018 approximately 9 52 receive text alert outside shoveling walkway delivery attempt made impossible standing front entrance residence one approached residence immediately contact amazon inquire receiving false alert delivery attempt made delivery reschedule next business day ongoing many year dealing amazon concession offered extend prime membership least refund day delivery charge dollars27 90 final straw amazon guess another case company grown large care service providing case lack thereof read full review
3375,amazon business account business address however logistics continue deliver package business hour matter currently package still receive since last thu 2/1/18 spoken several amazon c logistics manager nothing seem get package delivered unable find amazon contact number escalate
3376,signed trial amazon prime long ago far decent experience plan subscribing towards year issue amazon smile know past several month president trump issued tweet complaining amazon paying enough tax initially taken side thought full sure get feeling charity site called smile based deception get tax break purposely bought item amazon smile may dollar retail store portion payment would go selected charity found afterwards none item eligible seems like absolute farce contacted someone sent search list amazon smile eligible item 42 item showed kidding really pathetic
3377,kindle voyager died purchased feb jump chat take pace decide fixed mean fixed dead battery oh fix hardware problem okay well paying dollars199 retail brand new one answer dollars20 new one nope call speak guy named arthur explain everything say worry immediately made suspicious tell need purchase payment plan tell selling new device dollars100 say give dollars40 credit used first payment put dollars59 99 account used make subsequent payment made explain 3 time kept saying worry send email detail name purchase device thing end wait email get email say dollars159 99 device payment begin first month name missing messed crap begin decide lie phone start chat woman moron understand said happened transaction previous day go around around say found dollars59 99 sitting promotional credit applied payment mean mean dollars59 99 used future purchase tell right someone need fix pass onto someone else say refund dollars59 99 card hour passed like 1am tired point almost falling asleep tell check back next day check account email next day nothing happened saving chat since amazon com conveniently allow save call speak supervisor already tired frustrated get passed around put hold 45 minute hang call back get hung least 5 time steaming mad back chat since people jerking around phone tell someone need fix redo payment schedule device dollars100 like arthur promised would get passed around ask speak supervisor absolutely sure speaking supervisor blew every month chatting people pasting previous chat window word document asking plan get device one tell send back redo everything dollars100 ask think stupid everybody saying something different trust send email saying would happen send back say make know lying september file bbb complaint whoever answered refund dollars41 took long bought mp3 reduced credit could ask redoing payment schedule bbb close case enter another bbb complaint nothing happens get another chat amazon whereby rep say someone bbb division amazon com address complaint nothing happens couple week enter complaint attorney general state washington seattle someone amazon com sends back double talking response without addressing payment plan attorney general office say nothing go small claim court resolution send back email chat attached tell deceived small claim court washington think people act like online company law one state govern law another amazon com decides deactivate device 10/7/16 get book online access one purchased say whatever want right dire straight keep sending email saying want take dollars80 card instead dollars40 twice one payment dollars20 spent thousand dollar amazon com various product least 10 year dare treat people like make liar whole thing tell paying hour hour day month spent trying get right thing device would paid time money nobody consumer advocate online business company large amazon com think whatever want think also written ftc sure another useless government agency nothing anything company running rip shod consumer held accountable nothing monopoly almost way around purchasing thing online without going amazon com disgusted definitely looking option help year later financially struggling much pay court fee sue company believe business know fighting much dollars100 versus dollars199 probably pay court fee live fixed income got slammed fact froze cost living increase 2 year never able catch everything else life increased income frozen long rich get richer business get richer consumer get poorer nobody care frustrated tell used day consumer protected monopoly day gone used get split lieu allowing company compete problem seems like business world covering butt bed one another getting richer hour care little guy anymore absolutely nothing read full review
3378,item ordered amazon fine arrived time however last purchase made downright robbery understand company get away ordered four placemats supposed oil stain resistant got four piece cheap flimsy vinyl realize much stuff come china explains cheap crap amazon protect customer better addition wrote review amazon refuse publish honest review picture showing exactly garbage look like amazon allow customer get ripped also allow customer see honest truth
3379,used amazon mobile almost exclusively prime membership banner trying check immediately charged yearly dollars106 fee tried cancel whole thing already charged contacted customer service said refund would take 3 5 day check today posted refund dollars14 monthly fee full dollars106 contacted customer service evasive unhelpful would say plainly getting money back dollars14 monthly fee going bank today corrected since seem bothered
3380,prime amazon point buying anything site practically forced keep spending get decent shipping price rather shop ebay least price shipping upfront amazon became greedy
3381,signed amazon seller account paid dollars40 fee order sell spent day listing item within week sold two item nowhere telling listed counterfeit item suspended seller privilege item tampon razor cleaning spray let know counterfeit asked receipt information supplier told refused reinstate account even though told longer want sell item even found receipt even refused refund dollars40 seller fee saying sold least one item enough holding dollars40 even release dollars25 made amazon two sell shame buy hundred dollar using prime month pay 12 99 prime month going make sure let everyone know crooked spend money read full review
3382,received brand new credit card yesterday l went online amazon ordered four product reason balance credit card zero balance called amazon emailed several time today credit card still zero balance happens amazon duplicated quadrupled order wiped account informed last email one month get right l going report better business bureau one online one washington state shoddy company located business company period
3383,really want leave amazon bad review part typically efficient professional recent experience literally drove insane ordered day shipping method enticed order first place attempted delivered 6 30 said deliver get gate code apartment fair enough called 20 minute tried getting package redelivered guy phone said would come back night monday long story short call woman say coming night apologizes saying guy said etc say come next day tuesday 30th fine call yesterday lady say idea go shipping amazon logistics people nice clueless idea package contact anyone anything keep telling sorry know giving runaround spent 145 dollar expect item wednesday still clueless suppose 1 day shipping hard contact station tell deliver package basically idea know stuff basically point writing review mindful thing amazon really helpful getting issue solved probably going refund money refuse wait one day something monday latest tuesday absolutely mind boggling lost clueless employee saying contact driver station basically stuff needed way sitting warehouse moving reason read full review
3384,n response feb 1 today received email amazon thanking telling unauthorized use account reversed dollars100 charge visa also disabled password cancelled pending charge strong message seriousness much appreciate done fact expect reverse dollars100 charge think language misunderstanding amazon customer service fraud/investigative department however happy response bottom line though paypal break changed amazon password set 2 step verification amazon jan 31 2018someone broke amazon account charged dollars100 amazon egift card major credit card immediately contacted bank reported fraud month ago someone broke ebay account bought dollars6000 paypal gift card major credit card personal checking account luckily paypal fraud department reimbursed changed ebay paypal password forgot change amazon people broke amazon account notified amazon fraudulent transaction fraud department sent email could find fraud account apparently remote island speak correct english said upon research see unauthorized activity account kindly check trusted attribute access account email address order kind language read full review
3385,amazon always good return dealt fairly even odd occasion return period expired day good good quality delivery faster date stated many time exception china etc understandable used use ebay bad experience trust always order amazon
3386,login account recognized used e/m least 7 year amazon could tell offer reason issue told using wrong e/m even though credit card file correct shipping address different live would transfer management three call sent link close mysterious account open new one e/m address used year monitor cc acounts closely amazon would resolve issue pro nice solving problem
3387,purchase option buying amazon kindle except buy 1 click use different card different purchase go verify setting purchase take lot longer pick card want buy frustrating tried setting 1 click old obsolete card use one click get option choose another payment method go back reset 1 click setting obsolete card ready next time
